航次,委託單位,負責老師/備註,預計出海日,預計返港日,備註
LGD-2601,國科會,任昊佳,2026/1/7,2026/1/14,含設備裝卸
LGD-T63,試航,—,2026/1/20,2026/1/20,短程試航
LGD-T64,試航,—,2026/1/21,2026/1/23,短程試航
LGD-T65,試航,—,2026/1/25,2026/1/27,短程試航，含設備裝卸
LGD-塢修,—,進塢維修,2026/1/29,2026/2/12,全月進塢，含出塢加油
LGD-T66,試航,—,2026/3/2,2026/3/5,含設備裝卸
LGD-2602,國科會,詹森,2026/3/10,2026/3/22,含基隆進出港
LGD-2602,國科會,詹森,2026/3/25,2026/4/2,接續3月，含清明節
LGD-2603,國科會,周文臣,2026/4/8,2026/4/22,含加燃油、設備裝卸
LGD-2604,中研院,戴仁華,2026/4/27,2026/5/3,含設備裝卸
LGD-2605,地礦中心,—,2026/5/6,2026/5/15,含設備裝卸
LGD-2606,內政部＋國海院,—,2026/5/19,2026/6/7,接續5月，含設備裝卸
LGD-2607,國科會,何東垣,2026/6/11,2026/6/18,含加燃油、設備裝卸
LGD-T67,試航,—,2026/6/21,2026/6/22,含設備裝卸
LGD-2608,中研院,葉一慶＋林佩瑩,2026/6/24,2026/6/30,
LGD-2609,內政部＋國海院,—,2026/7/5,2026/7/24,含設備裝卸
LGD-2610,中華電信,—,2026/7/29,2026/8/4,接續7月，含設備裝卸
LGD-2611,國科會,許樹坤,2026/8/12,2026/8/14,含加燃油、設備裝卸
LGD-2612,中研院,許雅儒,2026/8/18,2026/8/27,含設備裝卸
LGD-2613,中研院,戴仁華,2026/9/1,2026/9/8,含設備裝卸
LGD-2614,國科會,許樹坤(林殿順),2026/9/12,2026/9/18,含設備裝卸
LGD-2615,國科會,周文臣,2026/9/23,2026/10/2,接續9月，含加燃油
LGD-2616,TORI,鄧家明(震測),2026/10/24,2026/11/13,接續10月
LGD-2617,國科會,許樹坤(震測),2026/11/16,2026/12/2,接續11月，含加燃油
LGD-2618,國科會,夏復國,2026/12/8,2026/12/13,含設備裝卸
LGD-2619,國科會,何東垣,2026/12/20,2026/12/30,含設備裝卸
